nazwa rozwiazania,liczba filozofow,numer filozofa,maksymalny czas oczekiwania
Rozwiązanie z możliwością zagłodzenia,15,4,878.6056
Rozwiązanie z możliwością zagłodzenia,15,7,1017.9767
Rozwiązanie z możliwością zagłodzenia,15,14,861.645
Rozwiązanie z możliwością zagłodzenia,15,10,1424.5057
Rozwiązanie z możliwością zagłodzenia,15,2,849.6572
Rozwiązanie z możliwością zagłodzenia,15,12,993.4929999999999
Rozwiązanie z możliwością zagłodzenia,15,8,1417.0107
Rozwiązanie z możliwością zagłodzenia,15,0,1239.0088
Rozwiązanie z możliwością zagłodzenia,15,9,909.8308999999999
Rozwiązanie z możliwością zagłodzenia,15,1,986.9117
Rozwiązanie z możliwością zagłodzenia,15,6,992.2794000000001
Rozwiązanie z możliwością zagłodzenia,15,3,913.6143
Rozwiązanie z możliwością zagłodzenia,15,13,1393.1302
Rozwiązanie z możliwością zagłodzenia,15,11,1019.8122
Rozwiązanie z możliwością zagłodzenia,15,5,992.7412999999999
Rozwiązanie asymetryczne,15,14,408.8953
Rozwiązanie asymetryczne,15,13,507.1783
Rozwiązanie asymetryczne,15,10,910.1917
Rozwiązanie asymetryczne,15,12,1021.7781
Rozwiązanie asymetryczne,15,11,1530.7877
Rozwiązanie asymetryczne,15,9,1429.3363
Rozwiązanie asymetryczne,15,8,915.5522
Rozwiązanie asymetryczne,15,7,1423.4647
Rozwiązanie asymetryczne,15,6,1419.6085
Rozwiązanie asymetryczne,15,4,1424.8345
Rozwiązanie asymetryczne,15,5,1426.2769
Rozwiązanie asymetryczne,15,2,1424.864
Rozwiązanie asymetryczne,15,3,1427.661
Rozwiązanie asymetryczne,15,0,1428.0339
Rozwiązanie asymetryczne,15,1,1530.7539
Rozwiązanie z arbitrem,15,7,915.6853
Rozwiązanie z arbitrem,15,4,916.7886
Rozwiązanie z arbitrem,15,2,918.0602
Rozwiązanie z arbitrem,15,14,916.5549
Rozwiązanie z arbitrem,15,6,915.8472
Rozwiązanie z arbitrem,15,9,918.7514
Rozwiązanie z arbitrem,15,11,916.7817
Rozwiązanie z arbitrem,15,3,916.5152
Rozwiązanie z arbitrem,15,1,917.0686
Rozwiązanie z arbitrem,15,13,917.9572
Rozwiązanie z arbitrem,15,8,915.792
Rozwiązanie z arbitrem,15,5,1003.277
Rozwiązanie z arbitrem,15,0,1003.3198
Rozwiązanie z arbitrem,15,10,916.2432
Rozwiązanie z arbitrem,15,12,1003.3163
